opening_name,opening_variation,count
French Defense, Franco-Hiva Gambit,17187
French Defense, Réti-Spielmann Attack,17182
Nimzowitsch Defense, French Connection,17136
Semi-Slav Defense, Noteboom Variation,16930
Modern Defense, Kotov Variation,16919
Pirc Defense, Kholmov System,16906
Sicilian Defense," Nimzowitsch Variation, Closed Variation",16682
English Opening," Four Knights System, Nimzowitsch Variation",16665
Sicilian Defense," O'Kelly Variation, Yerevan System",16619
King's Gambit Declined," Falkbeer Countergambit, Staunton Line",16585
Italian Game, Rosentreter Gambit,16516
Polish Opening, Outflank Variation,16432
French Defense," Winawer Variation, Delayed Exchange Variation",16410
King's Gambit Accepted, Abbazia Defense,16404
King's Gambit Declined, Falkbeer Countergambit Accepted,16394
Russian Game," Damiano Variation, Kholmov Gambit",16228
Blackmar-Diemer Gambit, Zeller Defense,16175
Sicilian Defense, Morphy Gambit,16174
Queen's Pawn Game," Veresov, Richter Attack",16106
Lasker Simul Special,~,16035
Grünfeld Defense," Three Knights Variation, Petrosian System",15998
French Defense, Burn Variation,15893
Queen's Gambit Declined," Chigorin Defense, Main Line",15875
English Opening," King's English Variation, Two Knights Variation, Smyslov System",15864
Center Game, von der Lasa Gambit,15862
English Opening," King's English Variation, Nimzowitsch Variation",15695
Caro-Kann Defense," Panov Attack, Modern Defense",15689
Bishop's Opening, Calabrese Countergambit,15651
French Defense, Pelikan Variation,15647
French Defense, Horwitz Attack,15646
Scotch Game, Potter Variation,15587
Nimzowitsch Defense, Pseudo-Spanish Variation,15541
Sicilian Defense, Godiva Variation,15419
Queen's Indian Accelerated,~,15404
Sicilian Defense," Dragon Variation, Classical Variation",15371
King's Indian Attack, Yugoslav Variation,15345
Modern Defense, Norwegian Defense,15331
Caro-Kann Defense," Two Knights Attack, Mindeno Variation, Exchange Line",15325
Neo-Grünfeld Defense," Classical Variation, Original Defense",15320
Sicilian Defense," Scheveningen Variation, English Attack",15270
Polish Opening, Bugayev Attack,15220
French Defense, Steinitz Variation,15161
Russian Game, Nimzowitsch Attack,15122
Sicilian Defense," Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation",15109
Ruy Lopez, Schliemann Defense,15108
Latvian Gambit, Mlotkowski Variation,15070
Ruy Lopez," Morphy Defense, Graz Variation",15015
Blackmar-Diemer Gambit, Euwe Defense,14900
French Defense," Horwitz Attack, Papa-Ticulat Gambit",14859
King's Indian Attack, Keres Variation,14770
Ruy Lopez," Exchange Variation, Keres Variation",14720
Sicilian Defense," Smith-Morra Gambit Accepted, Scheveningen Formation",14656
Italian Game," Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",14645
King's Gambit Accepted, Polerio Gambit,14603
King's Indian Attack, Wahls Defense,14566
English Opening," King's English Variation, Four Knights Variation, Quiet Line",14561
Hungarian Opening, Dutch Defense,14466
Catalan Opening,~,14430
Danish Gambit Accepted, Classical Defense,14406
English Opening," King's English Variation, Four Knights Variation, Fianchetto Line",14349
Englund Gambit Complex, Stockholm Variation,14233
Italian Game," Two Knights Defense, Ulvestad Variation",14191
Ruy Lopez," Morphy Defense, Neo-Arkhangelsk Variation",14170
Queen's Pawn Game," Colle System, Grünfeld Formation",14157
French Defense," Classical Variation, Delayed Exchange Variation",14135
Sicilian Defense, Pin Variation,14131
Italian Game," Two Knights Defense, Max Lange Attack",14130
Russian Game, Classical Attack,13961
Italian Game," Two Knights Defense, Open Variation",13958
French Defense, Winawer Variation,13926
Center Game, Hall Variation,13693
Nimzo-Larsen Attack, Dutch Variation,13685
Caro-Kann Defense, Ulysses Gambit,13654
Grünfeld Defense, Three Knights Variation,13634
Nimzowitsch Defense," Scandinavian Variation, Bogoljubov Variation",13627
Sicilian Defense," Dragon Variation, Yugoslav Attack",13619
Queen's Gambit Declined, Janowski Variation,13540
Grünfeld Defense,~,13539
Ruy Lopez," Morphy Defense, Classical Defense Deferred",13467
Vienna Game, Frankenstein-Dracula Variation,13467
Sicilian Defense," Smith-Morra Gambit Declined, Scandinavian Formation",13433
Caro-Kann Defense, Euwe Attack,13399
Vienna Game," Stanley Variation, Meitner-Mieses Gambit",13350
Italian Game, Evans Gambit Declined,13344
English Opening," Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",13316
Englund Gambit Complex, Zilbermints Gambit,13209
Sicilian Defense, Prins Variation,13204
Slav Defense, Chameleon Variation,13191
Sicilian Defense," Wing Gambit, Carlsbad Variation",13175
King's Gambit Declined, Falkbeer Countergambit,13143
Indian Defense, Czech-Indian,13129
Ruy Lopez, Closed,13098
Van Geet Opening, Grünfeld Defense,12965
Vienna Game, Mieses Variation,12908
Guatemala Defense,~,12905
English Opening," King's English Variation, Two Knights Variation, Keres Variation",12875
English Opening," Symmetrical Variation, Symmetrical Variation",12766
Nimzowitsch Defense," Scandinavian Variation, Exchange Variation, Marshall Gambit",12696
Center Game Accepted,~,12636
Russian Game, French Attack,12580
Sicilian Defense," Smith-Morra Gambit Declined, Center Formation",12497
Ruy Lopez," Schliemann Defense, Exchange Variation",12484
Bird Opening, Schlechter Gambit,12356
Catalan Opening, Open Defense,12316
Indian Defense," Budapest Defense, Rubinstein Variation",12315
Van Geet Opening, Napoleon Attack,12308
Nimzo-Indian Defense," Three Knights Variation, Duchamp Variation",12286
Sicilian Defense," Smith-Morra Gambit Accepted, Fianchetto Defense",12261
Indian Defense, Seirawan Attack,12229
Sicilian Defense," Scheveningen Variation, Classical Variation",12213
Philidor Defense," Nimzowitsch Variation, Klein Variation",12165
Philidor Defense, Bird Gambit,12139
Mikenas Defense, Lithuanian Variation,12056
Philidor Defense, Philidor Countergambit,11963
Sicilian Defense," Kan Variation, Modern Variation",11961
King's Gambit Accepted, Bishop's Gambit,11924
Slav Defense, Diemer Gambit,11693
Pirc Defense," Austrian Attack, Weiss Variation",11674
Italian Game, Jerome Gambit,11627
Nimzo-Indian Defense," Sämisch Variation, Accelerated",11607
Slav Defense, Geller Gambit,11597
Queen's Gambit Declined," Neo-Orthodox Variation, Main Line",11549
English Opening," Agincourt Defense, Neo-Catalan Declined",11528
Sicilian Defense," Wing Gambit, Marshall Variation",11451
King's Indian Defense, Accelerated Averbakh Variation,11433
English Opening," Symmetrical Variation, Four Knights Variation",11408
King's Pawn Game," Clam Variation, King's Gambit Reversed",11328
Pirc Defense," Classical Variation, Quiet System",11281
Sicilian Defense," Smith-Morra Gambit Accepted, Pin Defense",11273
Wade Defense,~,11271
Sicilian Defense," Nimzowitsch Variation, Advance Variation",11245
King's Gambit Declined, Norwalde Variation,11209
Queen's Pawn Game," Torre Attack, Gossip Variation",11121
Sicilian Defense," French Variation, Westerinen Attack",11120
Four Knights Game," Spanish Variation, Rubinstein Variation",11117
French Defense," Tarrasch Variation, Open System, Süchting Line",11079
Ruy Lopez," Schliemann Defense, Jaenisch Gambit Accepted",11047
Zukertort Opening, Lisitsyn Gambit,11011
King's Gambit Accepted, King Knight's Gambit,11003
Caro-Kann Defense," Panov Attack, Main Line",10969
Polish Opening, Birmingham Gambit,10935
Grünfeld Defense, Stockholm Variation,10897
Englund Gambit Declined, Reversed Mokele Mbembe,10828
Bishop's Opening, Lewis Gambit,10823
Caro-Kann Defense, Rasa-Studier Gambit,10817
Queen's Indian Defense, Kasparov Variation,10814
Center Game, Halasz-McDonnell Gambit,10814
English Opening, Jaenisch Gambit,10813
Caro-Kann Defense, Bronstein-Larsen Variation,10793
Rat Defense, Balogh Defense,10789
Semi-Slav Defense, Normal Variation,10762
Caro-Kann Defense, Goldman Variation,10750
King's Indian Defense, Larsen Variation,10747
King's Gambit Accepted, Blachly Gambit,10635
Italian Game," Scotch Gambit, Janowski Defense",10614
Queen's Gambit Declined," Modern Variation, Knight Defense",10597
English Opening," Anglo-Indian Defense, Scandinavian Defense",10587
Valencia Opening,~,10572
King's Gambit Accepted," Bishop's Gambit, Maurian Defense",10563
King's Indian Defense," Four Pawns Attack, Dynamic Attack",10562
Sicilian Defense," O'Kelly Variation, Venice System",10532
English Opening," Agincourt Defense, Catalan Defense, Semi-Slav Defense",10489
Scotch Game," Scotch Gambit, Kingside Variation",10468
Italian Game," Evans Gambit, Anderssen Variation",10467
Blackmar-Diemer Gambit, Fritz Attack,10374
Benoni Defense," Benoni-Indian Defense, Kingside Move Order",10365
Alekhine Defense," Modern Variation, Schmid Variation",10356
Sicilian Defense," Lasker-Pelikan Variation, Exchange Variation",10267
Tarrasch Defense, Two Knights Variation,10218
French Defense, Diemer-Duhm Gambit,10155
Bishop's Opening, Urusov Gambit,10154
Italian Game," Giuoco Pianissimo, Lucchini Gambit",10120
Sicilian Defense," Najdorf Variation, Adams Attack",9995
Blackmar-Diemer Gambit Declined, Weinsbach Declination,9927
Caro-Kann Defense, Forgacs Variation,9879
Blackmar-Diemer Gambit, Vienna Variation,9870
Sicilian Defense," Smith-Morra Gambit Accepted, Kan Formation",9858
Queen's Pawn Game," Chigorin Variation, Shaviliuk Gambit",9802
Vienna Game," Vienna Gambit, Paulsen Attack",9773
Queen's Gambit Declined, Charousek Variation,9763
Queen's Pawn Game, Liedmann Gambit,9762
Queen's Gambit Declined, Tarrasch Defense,9719
French Defense," Advance Variation, Wade Variation",9718
French Defense, Orthoschnapp Gambit,9680
Queen's Gambit Declined," Harrwitz Attack, Orthodox Defense",9649
King's Indian Defense," Fianchetto Variation, Uhlmann-Szabo System",9590
French Defense," Tarrasch Variation, Open System",9578
Scotch Game, Malaniuk Variation,9572
Ruy Lopez, Spanish Countergambit,9568
Bishop's Opening, Philidor Variation,9561
Nimzo-Indian Defense, Normal Line,9548
Blackmar-Diemer Gambit Declined, O'Kelly Defense,9537
Italian Game," Scotch Gambit, Walbrodt-Baird Gambit",9517
Nimzowitsch Defense," Kennedy Variation, Keres Attack",9511
Zukertort Opening, Herrstrom Gambit,9489
Sicilian Defense, Sozin Attack,9475
King's Gambit Declined, Keene's Defense,9469
Benko Gambit Accepted, Fully Accepted Variation,9438
Latvian Gambit, Mason Countergambit,9436
Italian Game," Scotch Gambit, Max Lange Attack, Spielmann Defense",9428
Trompowsky Attack, Edge Variation,9419
Three Knights Opening, Steinitz Defense,9412
Scandinavian Defense, Bronstein Variation,9381
Sicilian Defense," Sozin, not Scheveningen",9377
Caro-Kann Defense, Modern Variation,9368
French Defense, Carlson Gambit,9356
Nimzo-Indian Defense," Classical Variation, Noa Variation",9290
French Defense, Bird Invitation,9251
Italian Game, Deutz Gambit,9227
Vienna Game, Mengarini Variation,9204
French Defense, Classical Variation,9197
Four Knights Game," Spanish Variation, Rubinstein Variation Accepted",9105
Alekhine Defense," Modern Variation, Main Line",9052
Sodium Attack,~,9048
Nimzo-Indian Defense, Kmoch Variation,9035
Scotch Game, Steinitz Variation,9031
Queen's Gambit Declined, Barmen Variation,8987
Scotch Game," Göring Gambit, Main Line",8946
Indian Defense," Budapest Defense, Fajarowicz Variation",8880
Zukertort Opening, The Walrus,8821
King's Gambit Accepted, Rosentreter Gambit,8811
French Defense," Tarrasch Variation, Open System, Euwe-Keres Line",8807
Slav Defense, Bonet Gambit,8800
Queen's Gambit Accepted, Gunsberg Defense,8765
Nimzo-Indian Defense," Normal Variation, Ragozin Variation",8744
Dutch Defense, Staunton Gambit,8709
Zukertort Opening, Grünfeld Reversed,8655
Italian Game, Evans Gambit,8647
English Opening," Anglo-Indian Defense, Old Indian Formation",8592
Italian Game," Scotch Gambit, de Riviere Defense",8572
English Opening," Symmetrical Variation, Two Knights Line",8554
Ponziani Opening, Ponziani Countergambit,8540
Ruy Lopez," Morphy Defense, Steinitz Deferred",8536
Creepy Crawly Formation, Classical Defense,8487
Hippopotamus Defense,~,8452
King's Indian Defense, Sämisch Variation,8428
Zukertort Opening, St. George Defense,8401
King's Indian Attack, Omega-Delta Gambit,8375
Grünfeld Defense," Three Knights Variation, Hungarian Variation",8339
English Opening," Anglo-Indian Defense, Anglo-Grünfeld Variation",8277
Nimzo-Indian Defense, Sämisch Variation,8216
Polish Opening, Schiffler-Sokolsky Variation,8171
Caro-Kann Defense, Gurgenidze System,8158
Queen's Gambit Declined," Modern Variation, Heral Variation",8116
Kangaroo Defense," Keres Defense, Transpositional Variation",8112
King's Gambit Declined, Panteldakis Countergambit,8079
Nimzowitsch Defense," Kennedy Variation, Riemann Defense",8076
Nimzowitsch Defense," Scandinavian Variation, Bogoljubov Variation, Vehre Variation",8074
Rat Defense, Accelerated Gurgenidze,8068
Alekhine Defense," Modern Variation, Larsen Variation",8045
English Opening," King's English Variation, Four Knights Variation, Flexible Line",8028
Bishop's Opening, Boden-Kieseritzky Gambit,7990
King's Gambit Accepted, Bonsch-Osmolovsky Variation,7982
Sicilian Defense," Closed, Chameleon Variation",7963
Pterodactyl Defense," Eastern, Anhanguera",7923
Queen's Gambit Declined," Marshall Defense, Tan Gambit",7912
Dutch Defense," Stonewall Variation, Modern Variation",7902
Scotch Game," Scotch Gambit, Göring Gambit Declined",7864
Bishop's Opening," Vienna Hybrid, Hromádka Variation",7824
Caro-Kann Defense, Alekhine Gambit,7786
Indian Defense," King's Indian Variation, Fianchetto Variation",7771
Italian Game," Classical Variation, Greco Gambit",7724
Caro-Kann Defense," Advance Variation, Bronstein Variation",7684
Slav Defense, Two Knights Attack,7654
Englund Gambit Declined, Reversed Brooklyn,7654
Sicilian Defense," Modern Variations, Anti-Qxd4 Move Order",7638
Sicilian Defense," O'Kelly Variation, Normal System, Taimanov Line",7567
King's Indian Defense, Semi-Averbakh System,7549
French Defense," La Bourdonnais Variation, Reuter Gambit",7541
Kangaroo Defense,~,7531
Alekhine Defense, Balogh Variation,7516
King's Indian Defense," Fianchetto Variation, Classical Fianchetto",7514
Zukertort Opening, Speelsmet Gambit,7504
Sicilian Defense," Taimanov Variation, Szén Variation",7495
Bird Opening, Lasker Variation,7489
Philidor Defense, Larsen Variation,7481
English Opening," Symmetrical Variation, Botvinnik System",7467
Bogo-Indian Defense, Exchange Variation,7455
Nimzo-Indian Defense," Classical Variation, Berlin Variation",7418
King's Indian Defense," Normal Variation, Standard Development",7388
French Defense," Classical Variation, Swiss Variation",7378
Italian Game," Two Knights Defense, Polerio Defense, Kieseritzky Variation",7373
Italian Game," Scotch Gambit, Anderssen Attack",7356
Ruy Lopez," Exchange Variation, Gligoric Variation",7338
Old Indian Defense, Ukrainian Variation,7315
Rat Defense," English Rat, Lisbon Gambit",7306
Barnes Opening, Walkerling,7303
Neo-Grünfeld Defense, Ultra-delayed Exchange Variation,7293
French Defense," Rubinstein Variation, Fort Knox Variation",7286
King's Indian Defense," Fianchetto Variation, Yugoslav Variation",7213
Sicilian Defense," Sozin Attack, Leonhardt Variation",7211
Italian Game, Bird's Attack,7209
Polish Opening, Baltic Defense,7175
Blackmar-Diemer Gambit, Ziegler Defense,7165
Rubinstein Opening,~,7157
Caro-Kann Defense," Classical Variation, Spassky Variation",7143
French Defense," Tarrasch Variation, Pawn Center Variation",7097
Caro-Kann Defense," Two Knights Attack, Mindeno Variation, Retreat Line",7088
Nimzowitsch Defense, Scandinavian Variation,7065
Pirc Defense," Austrian Attack, Unzicker Attack",7048
Blackmar-Diemer Gambit Declined, Lamb Defense,7010
English Opening," Anglo-Indian Defense, Scandinavian Defense, Exchange Variation",6997
King's Indian Defense," Sämisch Variation, Yates Defense",6958
French Defense," Winawer Variation, Fingerslip Variation",6952
Scotch Game," Göring Gambit, Bardeleben Variation",6942
Nimzo-Indian Defense, Spielmann Variation,6916
Italian Game," Evans Gambit, Pierce Defense",6899
Nimzowitsch Defense," Lean Variation, Colorado Counter Accepted",6899
Sicilian Defense," Dragon Variation, Yugoslav Attack, Belezky Line",6885
Sicilian Defense," Dragon Variation, Modern Bc4 Variation",6848
Italian Game," Two Knights Defense, Polerio Defense, Suhle Defense",6833
Nimzo-Larsen Attack, Spike Variation,6824
Scandinavian Defense, Classical Variation,6821
Alekhine Defense," Four Pawns Attack, Fianchetto Variation",6809
Alekhine Defense," Modern Variation, Alburt Variation",6808
Bird Opening," From's Gambit, Lasker Variation",6783
Four Knights Game," Scotch Variation, Belgrade Gambit",6728
English Opening," Symmetrical Variation, Full Symmetry Line",6724
Pterodactyl Defense," Queen Pterodactyl, Quiet Line",6699
Caro-Kann Defense, von Hennig Gambit,6686
Crab Opening,~,6675
Sicilian Defense, Richter-Rauzer Variation,6643
Sicilian Defense," O'Kelly Variation, Venice System, Steiner Line",6636
Slav Defense," Exchange Variation, Schallopp Variation",6632
Scandinavian Defense, Richter Variation,6611
Russian Game," Modern Attack, Center Variation",6610
King's Gambit Declined, Keene Defense,6599
Dutch Defense, Staunton Gambit Accepted,6594
Sicilian Defense, Wing Gambit Deferred,6551
King's Gambit Declined, Miles Defense,6547
Modern Defense, Modern Pterodactyl,6545
Caro-Kann Defense," Karpov Variation, Modern Variation, Kasparov Attack",6516
Ruy Lopez, Fianchetto Defense,6514
St. George Defense, Polish Variation,6510
Ruy Lopez, Open,6507
Ruy Lopez," Schliemann Defense, Dyckhoff Variation",6449
Sicilian Defense," Wing Gambit, Deferred Variation",6434
Benoni Defense, Semi-Benoni,6419
Nimzowitsch Defense, Lean Variation,6407
Zukertort Opening, Basman Defense,6346
Slav Defense, Alekhine Variation,6339
Slav Defense," Exchange Variation, Symmetrical Line",6331
French Defense," Tarrasch Variation, Closed Variation, Main Line",6308
Scotch Game, Relfsson Gambit,6290
Scandinavian Defense, Schiller-Pytel Variation,6280
Alekhine Defense," Modern Variation, Larsen-Haakert Variation",6279
Sicilian Defense," Taimanov Variation, Bastrikov Variation, English Attack",6279
King's Indian Defense," Fianchetto Variation, Debrecen Defense",6256
Benoni Defense, Czech Benoni Defense,6229
Lemming Defense,~,6223
Blackmar-Diemer Gambit, Pietrowsky Defense,6200
Queen's Indian Defense," Classical Variation, Traditional Variation, Nimzowitsch Line",6167
French Defense," Advance Variation, Nimzowitsch Attack",6153
Scotch Game, Modern Defense,6142
English Opening," Symmetrical Variation, Duchamp Variation",6133
Italian Game," Two Knights Defense, Lolli Attack",6117
Scandinavian Defense, Lasker Variation,6096
Ruy Lopez, Alapin Defense,6091
Sicilian Defense, Nimzo-American Variation,6091
Neo-Grünfeld Defense, Non- or Delayed Fianchetto,6082
Bird Opening," Dutch Variation, Batavo Gambit",6055
English Opening," King's English Variation, Nimzowitsch-Flohr Variation",6047
Lion Defense," Anti-Philidor, Lion's Cave",6030
Bogo-Indian Defense, Grünfeld Variation,6011
King's Gambit Declined, Mafia Defense,6002
King's Gambit Declined," Falkbeer Countergambit, Charousek Gambit",5970
Caro-Kann Defense, Masi Variation,5963
Semi-Slav Defense, Anti-Moscow Gambit,5953
Queen's Gambit Declined," Baltic Defense, Pseudo-Chigorin",5928
Ruy Lopez, Vinogradov Variation,5927
Benko Gambit, Zaitsev System,5926
Sicilian Defense," Najdorf Variation, Amsterdam Variation",5925
King's Gambit Accepted," Cunningham Defense, Bertin Gambit",5922
Queen's Gambit Accepted," Central Variation, Rubinstein Defense",5882
Sicilian Defense," Closed, Korchnoi Defense",5873
Queen's Gambit Declined," Ragozin Defense, Alekhine Variation",5872
King's Indian Defense," Fianchetto Variation, Delayed Fianchetto",5858
Nimzowitsch Defense, Breyer Variation,5838
St. George Defense," New St. George, Three Pawn Attack",5821
Vienna Game, Fyfe Gambit,5809
King's Gambit Declined," Falkbeer Countergambit, Modern Transfer",5802
Queen's Indian Defense, Spassky System,5751
Scandinavian Defense, Anderssen Counterattack,5704
Caro-Kann Defense," Panov Attack, Fianchetto Defense",5687
Global Opening,~,5683
French Defense," Advance Variation, Extended Bishop Swap",5682
Caro-Kann Defense," Accelerated Panov Attack, Open Variation",5666
Alekhine Defense," Mokele Mbembe, Vavra Defense",5629
Pterodactyl Defense," Western, Rhamphorhynchus",5609
Russian Game, Paulsen Attack,5593
Scotch Game, Ghulam-Kassim Variation,5587
Queen's Gambit Declined," Ragozin Defense, Vienna Variation",5566
King's Pawn Game," Busch-Gass Gambit, Chiodini Gambit",5549
English Opening," Anglo-Indian Defense, Queen's Indian Formation",5547
Indian Defense, Maddigan Gambit,5531
Italian Game," Classical Variation, Greco Gambit, Greco Variation",5527
Blackburne Shilling Gambit,~,5526
Queen's Gambit Declined," Austrian Attack, Salvio Countergambit",5501
Queen's Gambit Declined, Orthodox Defense,5457
Alekhine Defense," Four Pawns Attack, Main Line",5455
Queen's Pawn Game," Chigorin Variation, Anti-Veresov",5433
Bogo-Indian Defense, Nimzowitsch Variation,5429
English Opening," King's English Variation, Four Knights Variation",5424
Pterodactyl Defense," Eastern, Benoni",5409
King's Gambit Accepted,~,5378
Dutch Defense, Fianchetto Attack,5375
King's Indian Defense," Semi-Classical Variation, Hollywood Variation",5355
Blackmar-Diemer Gambit, Rasa-Studier Gambit,5316
Scotch Game," Scotch Gambit, Cochrane-Anderssen Variation",5302
Caro-Kann Defense," Maróczy Variation, Maróczy Gambit",5296
Queen's Gambit Accepted, Janowski-Larsen Variation,5284
Neo-Grünfeld Defense," Classical Variation, Modern Defense",5261
Queen's Gambit Declined," Orthodox Defense, Botvinnik Variation",5258
Philidor Defense," Philidor Countergambit, Zukertort Variation",5237
Fried Fox Defense,~,5197
Indian Defense," Anti-Grünfeld, Advance Variation",5196
English Opening," Symmetrical Variation, Mecking Variation",5185
Sicilian Defense," Morphy Gambit, Andreaschek Gambit",5167
King's Gambit Declined," Falkbeer Countergambit, Milner-Barry Variation",5135
Queen's Gambit Declined, Cambridge Springs Defense,5101
Grünfeld Defense," Exchange Variation, Spassky Variation",5100
English Opening," Anglo-Scandinavian Defense, Löhn Gambit",5100
Queen's Indian Defense," Classical Variation, Traditional Variation",5097
Sicilian Defense," O'Kelly Variation, Maróczy Bind, Paulsen Line",5092
Italian Game," Evans Gambit, Harding Variation",5080
King's Indian Defense," Orthodox Variation, Positional Defense, Closed Line",5078
Queen's Gambit Declined," Exchange Variation, Reshevsky Variation",5063
Queen's Gambit Declined," Albin Countergambit, Tartakower Defense",5056
French Defense," Winawer Variation, Winckelmann-Riemer Gambit",5044
English Opening," Agincourt Defense, Catalan Defense Accepted",5032
Italian Game," Two Knights Defense, Traxler Counterattack",5011
Sicilian Defense," Smith-Morra Gambit, Danish Variation",5000
King's Indian Defense," Sämisch Variation, Closed Variation",4996
Sicilian Defense," Dragon Variation, Yugoslav Attack, Main Line",4991
Sicilian Defense," Alapin Variation, Barmen Defense, Modern Line",4980
Englund Gambit Complex, Mosquito Gambit,4980
Sicilian Defense," Smith-Morra Gambit Declined, Alapin Formation",4972
Sicilian Defense, Kveinis Variation,4962
King's Indian Defense," Orthodox Variation, Aronin-Taimanov Defense",4962
Queen's Pawn Game, Hübsch Gambit,4956
Semi-Slav Defense, Chigorin Defense,4917
Queen's Gambit Accepted, Slav Gambit,4915
Zukertort Opening, Polish Defense,4870
English Opening, Neo-Catalan,4858
Old Indian Defense, Two Knights Variation,4842
Sicilian Defense, Myers Attack,4837
Van Geet Opening, Sicilian Two Knights,4831
French Defense," Classical Variation, Normal Variation",4780
Benko Gambit Accepted, Pawn Return Variation,4780
Blackmar-Diemer Gambit, Diemer-Rosenberg Attack,4755
Nimzo-Larsen Attack, Graz Attack,4742
Italian Game," Classical Variation, Greco Gambit, Main Line",4738
French Defense," Classical Variation, Richter Attack",4736
Russian Game," Cochrane Gambit, Bishop Check Line",4734
Grünfeld Defense," Three Knights Variation, Paris Variation",4708
French Defense, Alapin Gambit,4706
King's Indian Defense," Orthodox Variation, Positional Defense",4705
Sicilian Defense," Najdorf Variation, Main Line",4689
Sicilian Defense," McDonnell Attack, Tal Gambit",4648
Italian Game," Evans Gambit, Main Line",4648
Catalan Opening," Open Defense, Tarrasch Defense",4644
Modern Defense," Lizard Defense, Mittenberger Gambit",4609
King's Indian Defense," Fianchetto Variation, Panno Variation",4595
Trompowsky Attack, Raptor Variation,4592
Benoni Defense, Classical Variation,4586
Danish Gambit Accepted, Schlechter Defense,4582
Elephant Gambit, Maróczy Gambit,4575
Old Indian Defense, Normal Variation,4564
French Defense," Classical Variation, Burn Variation, Main Line",4563
Zukertort Opening, Ware Defense,4548
Ruy Lopez," Morphy Defense, Norwegian Variation",4548
Amazon Attack, Siberian Attack,4542
Barnes Opening, Hammerschlag,4540
Semi-Slav Defense Accepted,~,4521
Semi-Slav Defense, Quiet Variation,4512
Bird Opening, Sturm Gambit,4504
Slav Defense, Winawer Countergambit,4494
Center Game, Ross Gambit,4486
Alekhine Defense," Four Pawns Attack, Trifunovic Variation",4471
Robatsch Defense,~,4468
Italian Game, Scotch Gambit,4466
Sicilian Defense," Alapin Variation, Sherzer Variation",4463
Irish Gambit,~,4447
Danish Gambit Accepted, Chigorin Defense,4422
English Opening," Mikenas-Carls, Sicilian",4416
Queen's Pawn Game," Chigorin Variation, Fianchetto Defense",4401
Queen's Pawn Game," Veresov Attack, Dutch System",4398
Polish Opening, Bugayev Advance Variation,4382
Neo-Grünfeld Defense, Classical Variation,4380
Torre Attack," Classical Defense, Nimzowitsch Variation",4379
Queen's Pawn Game," Torre Attack, Grünfeld Variation",4378
Benko Gambit Accepted, Modern Variation,4375
Semi-Slav Defense, Botvinnik Variation,4361
King's Indian Defense, Steiner Attack,4336
Tarrasch Defense, Schara Gambit,4333
Nimzowitsch Defense," Kennedy Variation, Main Line",4321
Queen's Pawn Game," Veresov Attack, Richter Variation",4318
Alekhine Defense, O'Sullivan Gambit,4312
Polish Opening, Symmetrical Variation,4300
Queen's Pawn Game, Englund Gambit,4285
Queen's Gambit Declined," Chigorin Defense, Lazard Gambit",4277
King's Pawn Game, Schulze-Müller Gambit,4232
Grünfeld Defense," Exchange Variation, Classical Variation",4217
Polish Opening, Dutch Defense,4207
Russian Game," Classical Attack, Marshall Variation",4202
Pirc Defense," Austrian Attack, Dragon Formation",4201
Scandinavian Defense, Kiel Variation,4189
Grünfeld Defense," Three Knights Variation, Hungarian Attack",4175
Queen's Gambit Declined," Harrwitz Attack, Fianchetto Defense",4133
Sicilian Defense," Dragon Variation, Levenfish Variation",4128
Sicilian Defense, Flohr Variation,4127
King's Gambit Declined," Falkbeer Countergambit, Nimzowitsch-Marshall Countergambit",4114
Sicilian Defense, Quinteros Variation,4112
Old Indian Defense, Tartakower-Indian,4089
Queen's Pawn Game," Veresov Attack, Boyce Defense",4075
Caro-Kann Defense," Hillbilly Attack, Schaeffer Gambit",4069
Italian Game," Scotch Gambit, Double Gambit Accepted",4065
Grob Opening, Spike Attack,4063
Ruy Lopez," Closed, Martinez Variation",4063
French Defense," Tarrasch Variation, Chistyakov Defense",4060
Queen's Gambit Declined," Chigorin Defense, Tartakower Gambit",4054
French Defense," Winawer Variation, Poisoned Pawn Variation",4019
Ruy Lopez, Lucena Variation,4007
Sicilian Defense," Modern Variations, Ginsberg Gambit",4007
King's Gambit Accepted, Hanstein Gambit,3980
French Defense," Tarrasch Variation, Guimard Defense",3967
Italian Game," Scotch Gambit, Max Lange Attack",3958
Alekhine Defense," Krejcik Variation, Krejcik Gambit",3955
King's Indian Defense," Fianchetto Variation, Classical Variation",3953
Sicilian Defense," Najdorf Variation, Zagreb Variation",3939
King's Pawn Game," Damiano Defense, Damiano Gambit",3908
Queen's Gambit Declined, Been-Koomen Variation,3895
Réti Opening," Anglo-Slav Variation, Bogoljubov Variation, Stonewall Line",3894
Ruy Lopez," Berlin Defense, l'Hermet Variation, Berlin Wall Defense",3868
Bishop's Opening, Warsaw Gambit,3856
French Defense," Classical Variation, Svenonius Variation",3807
Latvian Gambit," Mayet Attack, Morgado Defense",3804
Caro-Kann Defense," Panov Attack, Gunderam Attack",3795
Sicilian Defense," Accelerated Fianchetto, Maróczy Bind",3770
Polish Opening, Grigorian Variation,3766
King's Indian Defense," Fianchetto Variation, Simagin Variation",3759
Sicilian Defense, Bücker Variation,3752
Bongcloud Attack,~,3751
